ElementID,Volume,Area,Length,Height,Thickness/Width,Total_Surface_Area,Total_Edge_Length,Base_offset,Top_offset,Number_of_Faces,Bounding_Box_Width,Bounding_Box_Height,Bounding_Box_Depth,Centroid_X,Centroid_Y,Centroid_Z,Orientation_Angle,Curvature,source,is_rare_class,SECClasS_Code_Ss_1,SECClasS_Code_Ss_1_encode,Category_Curtain Panels,Category_Doors,Category_Floors,Category_Roofs,Category_Stairs,Category_Structural Columns,Category_Structural Foundations,Category_Structural Framing,Category_Walls,Category_Windows,load_bearing_status_binary
01E7uxhz1FGg88Uh10eHv4,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
01E7uxhz1FGg88Uh10eHvG,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
01E7uxhz1FGg88Uh10eH2P,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
01E7uxhz1FGg88Uh10eH1b,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
01E7uxhz1FGg88Uh10eH5s,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
01E7uxhz1FGg88Uh10eH53,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0tMZOrdMX4dvIlwcfTOWJR,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
2x5IjsU3z4hQl$t__CkrUz,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0Pb9UZmIX5Hhc1hHDFb0vb,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0Pb9UZmIX5Hhc1hHDFb0rx,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DATASET_ALEX,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
