ElementID,Volume,Area,Length,Height,Thickness/Width,Base_offset,Top_offset,Number_of_Faces,Bounding_Box_Width,Bounding_Box_Height,Bounding_Box_Depth,Centroid_X,Centroid_Y,Centroid_Z,Orientation_Angle,Curvature,source,is_rare_class,SECClasS_Code_Ss_1,SECClasS_Code_Ss_1_encode,Category_Curtain Panels,Category_Doors,Category_Floors,Category_Roofs,Category_Stairs,Category_Structural Columns,Category_Structural Foundations,Category_Structural Framing,Category_Walls,Category_Windows,load_bearing_status_binary
1438933,3.12,15.58,13.03,1.2,0.2,-0.2,-2.0,6.0,0.2,1.2,13.13,1123.03,288.56,81.41,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1510067,16.81,56.1,15.15,3.7,0.3,0.7,-1.68,6.0,3.37,3.7,14.89,1028.54,316.29,86.56,1.78,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1510330,11.12,37.05,12.12,3.11,0.3,-0.23,-0.18,8.0,0.3,3.11,12.12,977.33,295.65,88.35,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1510405,0.36,1.2,0.75,2.0,0.3,-0.43,-1.49,6.0,0.75,2.0,0.3,976.88,276.11,87.6,0.0,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1513163,6.97,23.23,7.28,3.35,0.3,-0.35,0.0,9.0,0.3,3.35,7.41,1049.57,285.31,82.23,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1532487,16.16,53.87,16.2,3.35,0.3,-0.35,0.0,6.0,0.3,3.35,16.2,1049.57,297.22,82.33,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1537166,1.23,4.93,4.27,1.12,0.25,-1.25,-3.13,6.0,4.27,1.27,0.3,1103.56,304.81,80.3,3.13,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1537175,0.74,2.97,2.36,4.87,0.25,-0.35,-1.5,6.0,2.46,4.87,0.28,1060.2,305.29,81.91,3.13,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1541243,5.71,22.85,10.32,2.47,0.25,-0.87,-1.4,7.0,26.9,2.77,0.55,1092.91,304.93,80.91,3.13,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1541334,2.71,10.84,10.49,2.33,0.25,0.0,-0.67,6.0,10.49,2.33,0.37,1085.8,305.0,81.82,3.13,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1541415,10.79,43.16,21.57,3.06,0.25,0.0,0.06,10.0,21.57,3.06,0.49,1069.44,305.18,82.44,3.13,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1541538,7.74,30.97,9.62,3.22,0.25,0.3,-2.5,7.0,9.62,3.22,0.34,1054.17,305.34,82.92,3.13,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1542261,5.72,22.91,7.92,2.5,0.25,1.0,0.5,6.0,8.06,3.2,0.32,1045.49,305.43,83.08,3.13,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
1544710,0.11,0.54,0.27,1.1,0.25,-1.23,-3.13,6.0,0.25,1.1,0.49,1122.99,301.96,80.33,1.57,0.0,dataset1,0,Ss_25,1,0,0,0,0,0,0,0,0,1,0,1
